,timestamp,adjusted_close
220,2017-08-16,60.29
221,2017-08-15,59.69
222,2017-08-14,59.06
223,2017-08-11,58.04
224,2017-08-10,58.02
225,2017-08-09,59.67
226,2017-08-08,59.48
227,2017-08-07,59.62
228,2017-08-04,58.86
229,2017-08-03,58.42
230,2017-08-02,59.12
231,2017-08-01,59.34
232,2017-07-31,58.55
233,2017-07-28,59.2
234,2017-07-27,60.15
235,2017-07-26,58.79
236,2017-07-25,58.26
237,2017-07-24,58.58
238,2017-07-21,58.67
239,2017-07-20,59.09
240,2017-07-19,58.35
241,2017-07-18,58.96
242,2017-07-17,57.58
243,2017-07-14,57.16
244,2017-07-13,57.9
245,2017-07-12,56.55
246,2017-07-11,54.76
247,2017-07-10,54.94
248,2017-07-07,53.97
249,2017-07-06,53.47
250,2017-07-05,54.61
251,2017-07-03,52.87
252,2017-06-30,53.67
253,2017-06-29,53.42
254,2017-06-28,54.39
255,2017-06-27,52.73
256,2017-06-26,53.74
257,2017-06-23,54.33
258,2017-06-22,53.87
259,2017-06-21,53.54
260,2017-06-20,52.52
261,2017-06-19,52.93
262,2017-06-16,51.84
263,2017-06-15,52.29
264,2017-06-14,51.9
265,2017-06-13,52.06
266,2017-06-12,52.16
267,2017-06-09,53.4
268,2017-06-08,54.39
269,2017-06-07,53.85
270,2017-06-06,53.4
271,2017-06-05,53.8
272,2017-06-02,53.52
273,2017-06-01,53.16
274,2017-05-31,52.21
275,2017-05-30,51.06
276,2017-05-26,51.19
277,2017-05-25,50.93
278,2017-05-24,51.05
279,2017-05-23,50.13
280,2017-05-22,49.77
281,2017-05-19,49.39
282,2017-05-18,49.11
283,2017-05-17,49.05
284,2017-05-16,50.34
285,2017-05-15,49.77
286,2017-05-12,49.37
287,2017-05-11,49.7
288,2017-05-10,49.79
289,2017-05-09,49.22
290,2017-05-08,49.17
291,2017-05-05,49.3
292,2017-05-04,48.91
293,2017-05-03,49.02
294,2017-05-02,49.05
295,2017-05-01,47.54
296,2017-04-28,47.72
297,2017-04-27,47.15
298,2017-04-26,44.41
299,2017-04-25,44.71
300,2017-04-24,44.27
301,2017-04-21,43.81
302,2017-04-20,43.69
303,2017-04-19,43.3
304,2017-04-18,43.09
305,2017-04-17,43.1
306,2017-04-13,42.55
307,2017-04-12,42.49
308,2017-04-11,42.69
309,2017-04-10,43.05
310,2017-04-07,43.04
311,2017-04-06,42.9
312,2017-04-05,42.89
313,2017-04-04,42.72
314,2017-04-03,42.63
315,2017-03-31,43.02
316,2017-03-30,43.54
317,2017-03-29,43.24
318,2017-03-28,43.15
319,2017-03-27,43.08
320,2017-03-24,43.13
321,2017-03-23,43.14
322,2017-03-22,43.19
323,2017-03-21,42.64
324,2017-03-20,43.16
325,2017-03-17,43.08
326,2017-03-16,42.4
327,2017-03-15,42.39
328,2017-03-14,42.1
329,2017-03-13,42.59
330,2017-03-10,42.99
331,2017-03-09,42.92
332,2017-03-08,42.79
333,2017-03-07,42.89
334,2017-03-06,42.87
335,2017-03-03,43.03
336,2017-03-02,42.77
337,2017-03-01,42.43
338,2017-02-28,42.0
339,2017-02-27,42.64
340,2017-02-24,43.07
341,2017-02-23,42.53
342,2017-02-22,42.42
343,2017-02-21,42.43
344,2017-02-17,41.96
345,2017-02-16,42.15
346,2017-02-15,41.87
347,2017-02-14,41.62
348,2017-02-13,41.17
349,2017-02-10,40.58
350,2017-02-09,40.83
351,2017-02-08,40.88
352,2017-02-07,40.02
353,2017-02-06,39.74
354,2017-02-03,39.59
355,2017-02-02,39.58
356,2017-02-01,39.31
357,2017-01-31,39.78
358,2017-01-30,39.86
359,2017-01-27,40.27
360,2017-01-26,41.5
361,2017-01-25,41.71
362,2017-01-24,41.96
363,2017-01-23,41.62
364,2017-01-20,41.69
365,2017-01-19,41.27
366,2017-01-18,41.35
367,2017-01-17,41.27
368,2017-01-13,41.6
369,2017-01-12,41.56
370,2017-01-11,41.28
371,2017-01-10,41.08
372,2017-01-09,41.4
373,2017-01-06,41.45
374,2017-01-05,41.06
375,2017-01-04,41.0
376,2017-01-03,40.25
377,2016-12-30,39.47
378,2016-12-29,39.96
379,2016-12-28,39.57
380,2016-12-27,39.72
381,2016-12-23,39.58
382,2016-12-22,39.68
383,2016-12-21,40.09
384,2016-12-20,39.74
385,2016-12-19,39.44
386,2016-12-16,39.32
387,2016-12-15,39.54
388,2016-12-14,39.55
389,2016-12-13,39.43
390,2016-12-12,39.43
391,2016-12-09,39.65
392,2016-12-08,39.61
393,2016-12-07,39.45
394,2016-12-06,38.98
395,2016-12-05,38.99
396,2016-12-02,38.62
397,2016-12-01,38.34
398,2016-11-30,39.28
399,2016-11-29,39.89
400,2016-11-28,39.96
401,2016-11-25,40.26
402,2016-11-23,40.05
403,2016-11-22,40.33
404,2016-11-21,40.63
405,2016-11-18,40.08
406,2016-11-17,39.88
407,2016-11-16,39.07
408,2016-11-15,38.94
409,2016-11-14,38.81
410,2016-11-11,40.08
411,2016-11-10,40.45
412,2016-11-09,41.26
413,2016-11-08,41.58
414,2016-11-07,41.28
415,2016-11-04,40.9
416,2016-11-03,41.19
417,2016-11-02,41.35
418,2016-11-01,41.54
419,2016-10-31,41.66
420,2016-10-28,41.76
421,2016-10-27,41.69
422,2016-10-26,42.33
423,2016-10-25,43.31
424,2016-10-24,43.87
425,2016-10-21,44.15
426,2016-10-20,40.09
427,2016-10-19,40.24
428,2016-10-18,39.83
429,2016-10-17,39.48
430,2016-10-14,39.24
431,2016-10-13,39.2
432,2016-10-12,39.53
433,2016-10-11,39.19
434,2016-10-10,39.86
435,2016-10-07,39.88
436,2016-10-06,40.18
437,2016-10-05,40.44
438,2016-10-04,40.78
439,2016-10-03,40.59
440,2016-09-30,40.97
441,2016-09-29,40.39
442,2016-09-28,40.97
443,2016-09-27,41.06
444,2016-09-26,40.34
445,2016-09-23,40.07
446,2016-09-22,40.49
447,2016-09-21,40.29
448,2016-09-20,39.69
449,2016-09-19,40.01
450,2016-09-16,40.7
451,2016-09-15,40.83
452,2016-09-14,39.96
453,2016-09-13,39.86
454,2016-09-12,38.77
455,2016-09-09,38.01
456,2016-09-08,39.27
457,2016-09-07,38.56
458,2016-09-06,37.18
459,2016-09-02,37.07
460,2016-09-01,36.83
461,2016-08-31,37.15
